Gene,Rank
BX255925.1,4.3749656208902376e-07
DLX5,4.373018937438833e-07
SUMO2P3,4.3684763765637033e-07
AIRE,4.367849786894514e-07
AL445205.1,4.363242081293978e-07
IGKV6-21,4.351078176138501e-07
MIR378J,4.3484104319504264e-07
SNORD3P1,4.3468638035423747e-07
SNORA15B-1,4.3412195455365284e-07
TMPRSS7,4.332989264110822e-07
LINC01967,4.3321704348105704e-07
VCX2,4.331836953804744e-07
LINC02276,4.3310283268257905e-07
LINC02705,4.3299560073602446e-07
USH1C,4.3282584857446083e-07
RNA5SP154,4.3260550940416015e-07
SNORA41B,4.3253522512525497e-07
OXGR1,4.322460721037118e-07
RNU6-338P,4.3190600277904003e-07
RNU1-61P,4.318065913633712e-07
RPL5P27,4.312266391063039e-07
ISCA2P1,4.301335651389222e-07
PRAC2,4.2994052814225337e-07
C4orf46P3,4.295662775885306e-07
LINC02091,4.294669192692559e-07
ISCA1P4,4.2899704896539937e-07
AL137246.2,4.2886749670906576e-07
RN7SL394P,4.2883657737675167e-07
AC104316.2,4.285933881910874e-07
ESM1,4.284784159452592e-07
RFPL4AL1,4.283942391369224e-07
AC108517.2,4.2818803544606353e-07
H1-8,4.2769040056851296e-07
OR2AM1P,4.272830572175698e-07
NPIPB9,4.2724308498996136e-07
C4orf50,4.269007020702772e-07
EGFLAM-AS2,4.2648563957821715e-07
GUCY2EP,4.263989309667453e-07
ANO3,4.263570387325314e-07
RNU6-359P,4.2625090934481585e-07
AC098850.1,4.2569011863412804e-07
OR2S1P,4.255750714860675e-07
AL008725.1,4.255062348440808e-07
CFL1P6,4.252314648574794e-07
H3P10,4.251533068093222e-07
HES3,4.2458632402018593e-07
LNX1-AS1,4.2453994077276966e-07
OR7A10,4.2413633947144545e-07
MIR5691,4.2413633947144545e-07
PCSK1N,4.240092708747563e-07
AC023034.1,4.237230835348468e-07
SNRPGP17,4.2311208636395447e-07
MPTX1,4.2308858682533357e-07
AL121823.1,4.229048458364067e-07
AC004692.2,4.2272098190239717e-07
AL031432.1,4.225287101831015e-07
RNU6-884P,4.224610432471892e-07
OR13C7,4.2243099935812826e-07
IGLL4P,4.2231382442884254e-07
OR7M1P,4.218222971927779e-07
RNU6-604P,4.2115646153102583e-07
MTCO2P25,4.2115646153102583e-07
OR2AE1,4.20529887101482e-07
RNU6-888P,4.2049806866306636e-07
AC079382.2,4.2047595021714313e-07
MRPL15P1,4.2020483403915254e-07
AC008558.1,4.199845516610296e-07
RNA5SP386,4.197089852484572e-07
AC018761.1,4.197034242837744e-07
FAM131B-AS1,4.1949199434515707e-07
FBXW10,4.194251251267636e-07
BX072579.2,4.193540408689663e-07
COL20A1,4.1917142710314204e-07
RN7SL447P,4.191495878404421e-07
AC073869.5,4.1901526979187114e-07
GPAT2P1,4.1888018683573436e-07
AC084757.4,4.188100441290002e-07
U91328.3,4.186860437799004e-07
ASS1P5,4.185936176260859e-07
AP000722.1,4.184351119636062e-07
SNORA5C,4.181282812436427e-07
RNA5SP439,4.172653453461608e-07
AC012555.2,4.172047866185948e-07
RPS2P52,4.170762424549029e-07
BNIP3P10,4.169501337096775e-07
NHS-AS1,4.1674421241749607e-07
RNU6-32P,4.165846618660938e-07
MIR4499,4.1629831309997436e-07
PRDM12,4.161297198887218e-07
